pid,draft_year,source_id,publisher
P9180c4596b,2023,nbadraft_2023,nbadraft
P9a144a10c5,2023,nbadraft_2023,nbadraft
P9aef7770b8,2023,nbadraft_2023,nbadraft
P9b886526e3,2023,nbadraft_2023,nbadraft
Pa12a517258,2023,nbadraft_2023,nbadraft
Pa4e79c2199,2023,nbadraft_2023,nbadraft
Pa6029bb5a6,2023,nbadraft_2023,nbadraft
Pa813594724,2023,nbadraft_2023,nbadraft
Paf99c23c4d,2023,nbadraft_2023,nbadraft
Pbf5a7a4d5b,2023,nbadraft_2023,nbadraft
Pc074e62881,2023,nbadraft_2023,nbadraft
Pc4ba85a58f,2023,nbadraft_2023,nbadraft
Pd5f2794063,2023,nbadraft_2023,nbadraft
Pd742da0a27,2023,nbadraft_2023,nbadraft
Pe1411c667e,2023,nbadraft_2023,nbadraft
Pe356195976,2023,nbadraft_2023,nbadraft
Pe60cc64195,2023,nbadraft_2023,nbadraft
Pe8ffde2213,2023,nbadraft_2023,nbadraft
Pf0ef0714b6,2023,nbadraft_2023,nbadraft
Pf85863f4bd,2023,nbadraft_2023,nbadraft
Pf9f33f79e7,2023,nbadraft_2023,nbadraft
Pfdcf13c664,2023,nbadraft_2023,nbadraft
P0d7bcc4d57,2024,nbadraft_2024,nbadraft
P0edbaa5011,2024,nbadraft_2024,nbadraft
P0f6f43de8d,2024,nbadraft_2024,nbadraft
P13f5a8ca49,2024,nbadraft_2024,nbadraft
P1a8fd8dc98,2024,nbadraft_2024,nbadraft
P1ccfa6c1ee,2024,nbadraft_2024,nbadraft
P23152d31e2,2024,nbadraft_2024,nbadraft
P2a77fa93f7,2024,nbadraft_2024,nbadraft
P2bc6f2a3aa,2024,nbadraft_2024,nbadraft
P2c7c71307b,2024,nbadraft_2024,nbadraft
P32ff4229d3,2024,nbadraft_2024,nbadraft
P35654567c0,2024,nbadraft_2024,nbadraft
P424c3aa3f2,2024,nbadraft_2024,nbadraft
P429241cb33,2024,nbadraft_2024,nbadraft
P470eca3f49,2024,nbadraft_2024,nbadraft
P473649a3ff,2024,nbadraft_2024,nbadraft
P4b73f3a250,2024,nbadraft_2024,nbadraft
P523c7506e7,2024,nbadraft_2024,nbadraft
P58407301c7,2024,nbadraft_2024,nbadraft
P68ff50da96,2024,nbadraft_2024,nbadraft
P7070c905f3,2024,nbadraft_2024,nbadraft
P74240d498b,2024,nbadraft_2024,nbadraft
P7a95b991f4,2024,nbadraft_2024,nbadraft
P82e84aa110,2024,nbadraft_2024,nbadraft
P84e9dcbb3e,2024,nbadraft_2024,nbadraft
P8cc9424d6a,2024,nbadraft_2024,nbadraft
P9f04775c7a,2024,nbadraft_2024,nbadraft
P9fc884bebd,2024,nbadraft_2024,nbadraft
Pa245962e52,2024,nbadraft_2024,nbadraft
Pa306b38c4f,2024,nbadraft_2024,nbadraft
Pa3f4257d20,2024,nbadraft_2024,nbadraft
Pa5d4a8fef6,2024,nbadraft_2024,nbadraft
Pa93866e530,2024,nbadraft_2024,nbadraft
Pada60a9da7,2024,nbadraft_2024,nbadraft
Pafffac98b2,2024,nbadraft_2024,nbadraft
Pb0cd5d409b,2024,nbadraft_2024,nbadraft
Pb1001f743e,2024,nbadraft_2024,nbadraft
Pb1c5565b99,2024,nbadraft_2024,nbadraft
Pcf591b3097,2024,nbadraft_2024,nbadraft
Pd018d62aee,2024,nbadraft_2024,nbadraft
Pd1401169e8,2024,nbadraft_2024,nbadraft
Pd3ead775c1,2024,nbadraft_2024,nbadraft
Pdbf2a4e286,2024,nbadraft_2024,nbadraft
Pdf5a3388b3,2024,nbadraft_2024,nbadraft
Pe79de9d05b,2024,nbadraft_2024,nbadraft
Pf120e8dc11,2024,nbadraft_2024,nbadraft
Pf4a65045a1,2024,nbadraft_2024,nbadraft
Pf7cf72315c,2024,nbadraft_2024,nbadraft
Pfd3b474513,2024,nbadraft_2024,nbadraft
P07268bf0e1,2025,nbadraft_2025,nbadraft
P12ee990c18,2025,nbadraft_2025,nbadraft
P155e770e32,2025,nbadraft_2025,nbadraft
P15b8c13058,2025,nbadraft_2025,nbadraft
P1a135db58f,2025,nbadraft_2025,nbadraft
P24c85e006b,2025,nbadraft_2025,nbadraft
P259fbebd69,2025,nbadraft_2025,nbadraft
P277e56e049,2025,nbadraft_2025,nbadraft
P307cead4af,2025,nbadraft_2025,nbadraft
P318e86822c,2025,nbadraft_2025,nbadraft
P32fecc73d2,2025,nbadraft_2025,nbadraft
P3651ab0a99,2025,nbadraft_2025,nbadraft
P3d8ccdb639,2025,nbadraft_2025,nbadraft
P3ee6bf444e,2025,nbadraft_2025,nbadraft
P3f654a33fe,2025,nbadraft_2025,nbadraft
P43b2e2aa2f,2025,nbadraft_2025,nbadraft
P445f167264,2025,nbadraft_2025,nbadraft
P495dd3afc8,2025,nbadraft_2025,nbadraft
P49b4c451ec,2025,nbadraft_2025,nbadraft
P4e09db2338,2025,nbadraft_2025,nbadraft
P5f9ce00466,2025,nbadraft_2025,nbadraft
