pid,draft_year,ordinal,season_end,war
P6f3f385e9b,2015,3,2018,0.024453194
P7570f82c10,2015,1,2016,-0.116591272
P4074fe9b9e,2017,1,2018,2.842911689
P5849f19551,2015,1,2018,1.196558677
P4ba2b4830d,2015,1,2016,-0.381179928
P4ba2b4830d,2015,2,2018,-0.107438047
P04e5776a76,2015,1,2016,0.90295321
P04e5776a76,2015,2,2017,0.973079967
P04e5776a76,2015,3,2018,-3.104465126
Pfc32d168da,2015,1,2016,1.212224727
Pfc32d168da,2015,2,2017,1.414146625
Pfc32d168da,2015,3,2018,0.798038779
P0029c9d3a9,2015,1,2016,-0.094396676
P1ef5f1c321,2015,1,2016,0.05363789
P1ef5f1c321,2015,2,2017,-0.048636635
P9f8d851f22,2016,1,2017,0.443860194
P35fcccf6c9,2015,1,2016,0.87764356
P35fcccf6c9,2015,2,2017,0.390690782
P35fcccf6c9,2015,3,2018,1.287264308
P7312c1c32d,2017,1,2018,-0.025583054
Pa1aae2a35c,2015,1,2016,0.029094311
P46c8e8cb1c,2015,1,2016,-0.036473103
Pf326870436,2015,1,2016,0.763124561
Pf326870436,2015,2,2017,-0.202737949
P96a831649e,2017,1,2018,-0.038514298
Pcb1e0b77ca,2016,1,2017,-0.843867724
Pcb1e0b77ca,2016,2,2018,0.073252618
P4879fe4868,2016,1,2017,-0.20392578
P4879fe4868,2016,2,2018,0.759370284
Pe528778159,2017,1,2018,-0.181418135
Pef9b8757a6,2015,1,2016,0.12319189
P0fde3dedb2,2016,1,2018,7.625856962
P53f786523f,2016,1,2017,0.000227654
P53f786523f,2016,2,2018,-1.696106036
P620501ed0d,2016,1,2017,0.154111916
P620501ed0d,2016,2,2018,1.315475767
Pf93789f1b5,2016,1,2017,-1.550738921
Pf93789f1b5,2016,2,2018,0.238614221
P4a1b07df85,2016,1,2017,0.454544338
P4a1b07df85,2016,2,2018,0.039685409
P47380ec945,2016,1,2017,-1.404795845
P47380ec945,2016,2,2018,-0.444294466
P9668122fb9,2016,1,2017,0.141474093
P9668122fb9,2016,2,2018,-0.689934974
P9155961dd2,2016,1,2017,-0.364594476
P9155961dd2,2016,2,2018,1.224853053
P9264b6e63a,2016,1,2017,-0.294611469
P9264b6e63a,2016,2,2018,-0.598677025
P4ec4ee54f1,2016,1,2017,0.508943736
P4ec4ee54f1,2016,2,2018,4.239852728
P117a6c6fb1,2016,1,2017,-2.843543663
P117a6c6fb1,2016,2,2018,0.777666423
Pa466887b08,2016,1,2017,0.074672907
Pa466887b08,2016,2,2018,-0.415924561
Pbfe4edf289,2016,1,2017,0.100006639
Pbfe4edf289,2016,2,2018,0.17955615
P25bfc6427b,2016,1,2017,-0.265827247
P25bfc6427b,2016,2,2018,-0.312401082
Pd856e50561,2016,1,2017,-0.047808347
Pd856e50561,2016,2,2018,-0.032295476
P55d1c5e102,2016,1,2017,0.989537449
P55d1c5e102,2016,2,2018,1.764874792
P4b59f5fe56,2016,1,2017,0.181091689
P4b59f5fe56,2016,2,2018,-2.286167237
Pc1c99fe2be,2016,1,2017,0.385824297
Pc1c99fe2be,2016,2,2018,3.635648097
Pf9ebd1b271,2016,1,2017,1.928691031
Pf9ebd1b271,2016,2,2018,4.460166685
P88f4dbf943,2016,1,2017,0.123800487
P88f4dbf943,2016,2,2018,4.400967307
Pc5a8d9d1d6,2016,1,2017,0.812024603
Pc5a8d9d1d6,2016,2,2018,0.164629795
P9c2d575f48,2016,1,2018,-0.435853628
Pfa4c05beee,2016,1,2017,-0.281349006
P0edb7d3b99,2016,1,2017,-0.186676092
P0edb7d3b99,2016,2,2018,0.132409308
P88064c1c05,2016,1,2017,0.190773658
P88064c1c05,2016,2,2018,1.196481747
Pb3a7a6f86b,2016,1,2017,-0.57679541
Pce6ddda209,2016,1,2017,1.014834125
Pce6ddda209,2016,2,2018,0.747135318
P8a2a3c7c07,2016,1,2017,-0.821796394
P8a2a3c7c07,2016,2,2018,6.414517146
Pddcf4609af,2016,1,2017,-0.295089969
Pddcf4609af,2016,2,2018,-0.522276626
Pd46f6361f5,2016,1,2017,0.216222926
Pd46f6361f5,2016,2,2018,-0.184638667
Pf5fb4e36b6,2016,1,2017,4.693845993
Pf5fb4e36b6,2016,2,2018,1.912709325
Pd50459cb6d,2016,1,2017,-0.422398451
Pd50459cb6d,2016,2,2018,-0.841587423
P9260f65add,2016,1,2017,-0.612680411
P9260f65add,2016,2,2018,-0.237507197
Pa307fde308,2016,1,2017,-0.084070565
P3ea09a4d42,2016,1,2018,-0.067764722
P8e900c2247,2016,1,2017,-0.515632351
Pfd95ad31d4,2016,1,2017,-0.679416453
Pfd95ad31d4,2016,2,2018,-0.297359963
Pf20205fffb,2016,1,2017,-0.285146451
Pf20205fffb,2016,2,2018,-0.935634962
P521ea871d2,2016,1,2017,-0.295864138
P521ea871d2,2016,2,2018,0.030957269
P22b18d36a6,2016,1,2018,0.01989704
P55f0d03e7b,2016,1,2017,-0.586303213
P55f0d03e7b,2016,2,2018,0.088601745
P6f92e02de4,2016,1,2017,-0.09391239
P6f92e02de4,2016,2,2018,-0.89561543
Pa7cb2c7354,2016,1,2017,-0.378800977
Pa7cb2c7354,2016,2,2018,-0.841695222
P85fbcb1dce,2016,1,2017,-0.453835606
P85fbcb1dce,2016,2,2018,2.982601511
Pa8fc4b7ad7,2016,1,2017,-0.333043815
Pf8b83ac1f0,2016,1,2017,-0.341783339
Pf8b83ac1f0,2016,2,2018,0.220502481
P251ed0e7a3,2016,1,2017,-0.592664602
P251ed0e7a3,2016,2,2018,0.593448787
Pe40a7b9665,2016,1,2017,-0.141341092
Pcb0e772806,2016,1,2017,0.315932017
Pcb0e772806,2016,2,2018,-0.155137462
P1a32cd4176,2016,1,2018,0.315255745
Pd5a40a7ee0,2016,1,2017,-0.123410714
P5f3e1d9a7e,2016,1,2017,0.041739463
P5f3e1d9a7e,2016,2,2018,3.844344256
Pb920680006,2017,1,2018,0.833489717
P09fcc624c4,2016,1,2017,-0.335460273
P09fcc624c4,2016,2,2018,-0.300392277
Pd7225b3a0b,2016,1,2017,0.1352412
Pd7225b3a0b,2016,2,2018,-0.080669435
Pc01c642a9f,2016,1,2017,-0.0703654
Pc01c642a9f,2016,2,2018,0.836138241
P85b94bf602,2016,1,2018,-0.240345837
P80ec619552,2017,1,2018,-0.274605727
P7222e0f90b,2016,1,2017,1.620631665
P7222e0f90b,2016,2,2018,0.050140585
Pd7c989b67a,2016,1,2018,-0.179690715
P64adb31e4d,2016,1,2017,-1.141159698
P64adb31e4d,2016,2,2018,0.531967675
Pbd6175d1ad,2016,1,2017,0.803267687
Pbd6175d1ad,2016,2,2018,0.230272295
Paca468f5b5,2016,1,2017,-0.545261644
Paca468f5b5,2016,2,2018,-0.46028794
Pcf60b82b9d,2016,1,2017,-0.343242242
Pcf60b82b9d,2016,2,2018,-1.342853963
Pc72bfd628e,2016,1,2018,-1.296694498
P6bc657fff3,2016,1,2017,0.510164907
P287f82c404,2016,1,2017,-0.396091613
Pa78dfd4260,2016,1,2017,-0.274406268
Pa78dfd4260,2016,2,2018,-0.172926759
P049f342950,2016,1,2017,-0.678609944
P049f342950,2016,2,2018,-0.030256429
P41923cb473,2016,1,2017,-0.542463701
P41923cb473,2016,2,2018,-0.001040318
P982f4d9f47,2017,1,2018,-0.149061981
P53698aab75,2016,1,2017,-1.165016157
P53698aab75,2016,2,2018,0.426983311
P94ee422c65,2016,1,2017,-0.28948215
P94ee422c65,2016,2,2018,-0.19379318
Pfafab37502,2017,1,2018,0.055360928
P8e9f5cd10b,2017,1,2018,0.441641359
P6f658be6bb,2016,1,2017,0.027439257
Pe1b87bba68,2017,1,2018,-0.037882504
Pe0da967ad1,2016,1,2017,-0.418480503
Pdc4a696341,2016,1,2017,-0.217833259
Pdc4a696341,2016,2,2018,-0.076386134
P2bc89b6490,2016,1,2017,-0.134470929
P7e57b76eb8,2017,1,2018,-0.129611891
Pc9bdc2e95f,2016,1,2017,0.257059319
Pc9bdc2e95f,2016,2,2018,0.405359454
Pa67da64cf8,2017,1,2018,1.479425895
P4370ef2bf5,2017,1,2018,0.412185533
P9ac225720c,2017,1,2018,-0.311999119
Pe75e4da903,2017,1,2018,0.232188881
P7719d3d89b,2016,1,2017,1.039821002
P7719d3d89b,2016,2,2018,0.746299642
Pb571c7aa88,2017,1,2018,-0.041536327
P25e61f80f8,2017,1,2018,0.31920183
P6e7d02b021,2017,1,2018,3.040284621
Pe56ae9c7aa,2017,1,2018,-1.793877785
P6f43cf2ee3,2017,1,2018,-1.666319743
P8a2034c01d,2017,1,2018,6.282711531
