pid,draft_year,ordinal,season_end,war
P20418f8d52,2009,2,2011,6.378794817
P8afd917a6c,2009,1,2010,1.86029069
P8afd917a6c,2009,2,2011,1.716907271
P56bb4beeed,2009,1,2010,3.715818939
P56bb4beeed,2009,2,2011,3.384334557
Peb1d9a0135,2009,1,2010,-0.038535865
P4b68bd7095,2009,1,2010,2.820554797
P4b68bd7095,2009,2,2011,5.371169531
Pb3be83363c,2010,1,2011,-2.081330591
P1402e898dc,2010,1,2011,-1.102442247
P6f36cd1fed,2010,1,2011,-0.384918409
P780225999f,2010,1,2011,0.824885009
P7072c546bd,2010,1,2011,-0.13106203
P0aa146e53e,2010,1,2011,-0.204496319
P29b17f6d68,2010,1,2011,0.511556923
