pid,cmb_bench,cmb_bmi,cmb_body_fat,cmb_hand_len,cmb_hand_width,cmb_lane_agility,cmb_max_vert,cmb_mod_lane_agility,cmb_offdrib_att,cmb_offdrib_pct,cmb_onmove_att,cmb_onmove_pct,cmb_reach_minus_height,cmb_spot15_att,cmb_spot15_pct,cmb_spotcol_att,cmb_spotcol_pct,cmb_spotnba_att,cmb_spotnba_pct,cmb_sprint,cmb_stand_vert,cmb_wing_minus_height
P26f8dd510c,,25.85,6.7,,,,,,,,,,27.75,,,,,,,,,5.0
P56bb4beeed,14.0,24.46,4.8,,,10.73,33.0,,,,,,24.25,,,,,,,3.28,31.0,2.25
P4417860ddd,9.0,25.28,5.1,,,11.15,37.0,,,,,,26.5,,,,,,,3.18,30.5,4.0
Pc643573699,,26.25,4.9,,,11.47,33.0,,,,,,28.25,,,,,,,3.45,27.5,5.5
P3d55371834,10.0,23.94,5.0,9.25,9.25,13.2,26.0,,,,,,29.5,,,,,,,3.68,22.5,5.5
P7e584efe40,10.0,25.29,8.5,9.0,9.25,11.48,28.0,,,,,,30.5,,,,,,,3.35,23.0,7.75
P297adbbd5f,13.0,24.18,8.2,9.5,9.5,11.29,33.5,,,,,,29.25,,,,,,,3.3,27.0,8.0
Pb46ac34cd7,14.0,24.78,7.9,8.5,7.25,11.86,35.5,,,,,,27.25,,,,,,,3.19,30.0,3.75
P6f36cd1fed,15.0,24.23,5.6,8.5,10.0,10.98,37.5,,,,,,25.0,,,,,,,3.4,29.5,3.75
P0d0da4d2bc,9.0,25.8,5.6,8.5,9.75,,,,,,,,25.75,,,,,,,,,7.25
P780225999f,22.0,27.07,7.3,9.0,9.5,11.15,36.0,,,,,,27.75,,,,,,,3.1,31.0,3.5
P54e531f2ec,6.0,24.84,7.9,9.5,11.25,11.65,35.0,,,,,,28.5,,,,,,,3.39,26.0,3.5
P871b04878c,2.0,23.16,4.0,8.25,9.5,11.47,37.5,,,,,,24.5,,,,,,,3.14,31.5,5.25
P6ff85cb7e1,22.0,30.56,12.8,9.0,10.25,12.78,30.5,,,,,,27.25,,,,,,,3.61,25.0,4.0
P4570803785,,30.94,9.2,8.5,9.5,12.31,33.0,,,,,,23.75,,,,,,,3.24,27.5,4.25
