pid,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span
Pbdf853cdec,-0.009,0.005,0.012,0.045,0.021,-1.4,1.318,-0.061,0.494,34.0,1,32.2,21.354,18.0,5,1,4.09,1.188,4
P04526b8576,0.968,0.06,0.019,0.077,0.125,4.3,7.124,-1.212,-0.245,31.0,1,33.9,17.097,4.3,2,1,4.3,7.124,1
P7589e6b4d5,1.381,-0.011,-0.012,0.013,0.049,3.1,0.433,-0.024,-0.012,32.0,0,33.8,16.615,3.1,4,1,1.72,-0.427,4
Pe40a7b9665,-0.871,-0.056,-0.049,-0.029,0.068,6.0,-0.056,-1.337,-0.224,36.0,0,33.6,21.857,22.0,4,1,6.98,2.55,4
Pcb59681372,0.432,-0.471,-0.066,,0.068,2.5,-0.877,-0.772,-0.065,37.0,0,27.5,21.731,22.8,5,1,5.3,2.305,4
Peef8948765,-0.724,0.054,-0.01,-0.025,0.013,3.0,0.773,2.263,-0.186,35.0,1,31.6,16.633,4.7,4,1,1.52,1.564,3
P484d9844af,-0.727,0.43,-0.036,,0.133,6.1,-0.842,-1.52,0.11,35.0,0,19.0,10.042,12.5,3,1,6.25,0.867,2
P35f0fb7731,,,,,,,,,,32.0,1,33.0,20.836,0.0,1,1,,,0
P0edb7d3b99,1.402,-0.053,0.028,-0.085,0.048,13.0,8.453,0.212,-0.045,35.0,1,36.8,16.924,13.0,2,1,13.0,8.453,1
P338a42b9d0,1.127,-0.294,-0.12,0.109,-0.056,6.3,3.161,-1.292,0.111,34.0,1,31.0,18.465,6.3,2,1,6.3,3.161,1
P5705590403,,,,,,,,,,25.0,1,30.3,13.663,0.0,1,1,,,0
P719dac14cb,0.538,-0.171,-0.001,0.038,-0.093,3.0,-0.08,0.769,0.252,17.0,0,26.4,16.227,13.6,9,0,0.478,1.0,9
P14882ceff6,-0.912,-0.765,0.059,0.118,0.229,4.8,11.526,-1.099,0.599,33.0,1,24.4,24.934,4.8,2,1,4.8,11.526,1
Pf8707c5a5f,-0.564,-0.107,-0.012,-0.066,0.011,0.5,-1.722,-0.578,0.089,27.0,0,34.3,15.638,9.7,3,1,4.85,0.941,2
P9540818d9f,,,,,,,,,,8.0,1,14.9,16.671,0.0,1,0,,,0
Pa0f574a8a8,-0.867,-0.192,0.03,0.089,0.143,3.9,2.209,1.613,-0.093,18.0,1,31.8,23.887,19.4,3,1,9.7,4.976,3
P7572949d92,-0.42,0.498,-0.032,0.037,0.112,1.3,1.218,1.366,0.194,35.0,1,32.5,20.603,30.6,5,1,7.01,2.131,4
Pa5d4a8fef6,,,,,,,,,,26.0,1,32.0,16.088,0.0,1,0,,,0
