pid,txt_athlete,txt_athlete_per1k,txt_breakout,txt_breakout_per1k,txt_character,txt_character_per1k,txt_defender,txt_defender_per1k,txt_exists,txt_hype,txt_hype_per1k,txt_injury,txt_injury_per1k,txt_left,txt_left_per1k,txt_national,txt_national_per1k,txt_nba_family,txt_nba_family_per1k,txt_negative,txt_negative_per1k,txt_playmaker,txt_playmaker_per1k,txt_positive,txt_positive_per1k,txt_prep,txt_prep_per1k,txt_pro_family,txt_pro_family_per1k,txt_projected_pick,txt_refs,txt_sections,txt_shooter,txt_shooter_per1k,txt_size,txt_size_bytes,txt_size_per1k,txt_tone,txt_transfer,txt_transfer_per1k,txt_words
P2bdd03741b,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2c06075e55,0,0.0,0,0.0,0,0.0,1,2.421,1,0,0.0,2,4.843,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.421,1,2.421,,10,8,0,0.0,0,4650,0.0,0.0,0,0.0,413
P2c1e066057,2,4.751,0,0.0,0,0.0,0,0.0,1,2,4.751,1,2.375,0,0.0,0,0.0,0,0.0,0,0.0,1,2.375,3,7.126,0,0.0,1,2.375,,11,6,4,9.501,0,5689,0.0,0.5,0,0.0,421
P2c24c6affb,0,0.0,1,3.636,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,10.909,0,0.0,0,0.0,0,0.0,,3,4,1,3.636,0,3715,0.0,0.0,0,0.0,275
P2c3a1eb46b,0,0.0,0,0.0,0,0.0,0,0.0,1,1,4.098,1,4.098,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.098,0,0.0,0,0.0,,8,5,0,0.0,0,5397,0.0,0.25,0,0.0,244
P2c8aa67899,2,3.263,2,3.263,0,0.0,7,11.419,1,7,11.419,3,4.894,0,0.0,0,0.0,0,0.0,0,0.0,8,13.051,5,8.157,0,0.0,0,0.0,,15,6,2,3.263,0,11401,0.0,0.625,1,1.631,613
P2ca61183dc,1,1.361,0,0.0,2,2.721,4,5.442,1,3,4.082,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,9.524,6,8.163,1,2.721,0,0.0,,21,7,3,4.082,0,12582,0.0,0.667,1,2.721,735
P2cdeb4bf00,0,0.0,0,0.0,0,0.0,7,3.721,1,12,6.38,11,5.848,0,0.0,1,0.532,0,0.0,1,0.532,7,3.721,25,13.291,0,0.0,0,0.0,,1,17,10,5.316,0,14764,0.0,0.828,1,0.532,1881
P2d06a24aee,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,6,23.166,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,3,0,0.0,0,2448,0.0,0.0,0,0.0,259
P2d45174d7f,0,0.0,0,0.0,0,0.0,0,0.0,1,2,4.598,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,6.897,3,6.897,1,4.598,0,0.0,,4,5,0,0.0,0,4172,0.0,0.5,0,0.0,435
P2d49f5a403,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,1,8.264,0,0.0,0,0.0,0,0.0,0,0.0,1,24.793,,3,1,0,0.0,0,1831,0.0,0.0,0,0.0,121
P2db62bcb6f,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.854,0,0.0,0,0.0,,1,2,3,14.563,0,2818,0.0,0.25,1,4.854,206
P2db6f2cc8f,0,0.0,0,0.0,0,0.0,0,0.0,1,2,4.717,1,2.358,0,0.0,4,9.434,0,0.0,0,0.0,0,0.0,3,7.075,1,4.717,1,2.358,,13,7,0,0.0,0,6847,0.0,0.5,1,7.075,424
P2e38e474e2,0,0.0,0,0.0,0,0.0,4,3.03,1,4,3.03,1,0.758,0,0.0,0,0.0,0,0.0,1,0.758,5,3.788,7,5.303,0,0.0,0,0.0,,3,7,3,2.273,0,9717,0.0,0.545,0,0.0,1320
P2e6be7d23b,0,0.0,0,0.0,0,0.0,0,0.0,1,3,11.538,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,5,2,0,0.0,0,4944,0.0,0.0,0,0.0,260
