pid,gt_ratio,gt_peak_ratio,gt_last30_ratio,gt_trend,gt_zero_share,gt_days_above10,gt_topic,gt_class_pct
P53d139a0c8,0.0102,0.04,0.0,0.957,0.954,0,0,0.833
P868c7d320b,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P130d4826ef,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P3dd06c5ebd,0.0009,0.01,0.0,0.989,0.994,0,0,0.58
Ped12721a79,0.0842,0.03,0.0091,0.6,0.44,0,0,1.0
Pbfadf35dca,0.0143,0.05,0.0,0.811,0.938,0,0,0.898
P2382218b2e,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P0d7bcc4d57,0.0021,0.01,0.0063,1.088,0.977,0,0,0.708
P8048267828,0.0082,0.04,0.0,0.978,0.966,0,0,0.857
P392363bcf2,0.0095,0.04,0.0,0.874,0.952,0,0,0.861
P522b25bae5,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pb3cfb2c388,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pc19957985f,0.0005,0.01,0.0,0.989,0.994,0,0,0.549
Pfa7a6f2536,0.0514,0.12,0.011,0.745,0.705,1,0,0.979
P7f11916058,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pa408da26a2,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P4110110f37,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P3ebbedffb1,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P4e09db2338,0.0052,0.02,0.0071,1.032,0.966,0,0,0.8
P732be498cd,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P3860306e22,0.0017,0.01,0.0,0.978,0.988,0,0,0.71
P98436c11b0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P41ae7c3c75,0.0052,0.02,0.0,0.989,0.971,0,0,0.8
P1c44c138bb,0.0047,0.02,0.0,0.957,0.955,0,0,0.788
P6b997b8b4f,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pd4adc2c99d,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P54ce020bc4,0.0148,0.03,0.0132,1.0,0.884,0,0,0.896
P8c8d5105c2,0.0046,0.04,0.0,0.918,0.971,0,0,0.802
P29e5d27062,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pc5f6ac0bb7,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pbcdd20a9f9,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pe60cc64195,0.0009,0.01,0.0,1.0,0.994,0,0,0.58
Pb3227aeb5d,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P3fd81a75e9,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pf85863f4bd,0.0044,0.02,0.0,0.947,0.977,0,0,0.81
P659b205e3c,0.0087,0.04,0.0,0.938,0.959,0,0,0.9
P123f055136,0.0034,0.02,0.0044,1.043,0.971,0,0,0.792
P32ad967364,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P7271485ede,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pf1dc83702a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P79c8ced5ce,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pa8621489c8,0.002,0.01,0.0,0.968,0.986,0,0,0.731
Pd51160cf5e,0.0028,0.01,0.0,0.968,0.983,0,0,0.6
P2b19f4fd38,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pc0a66d6cca,0.0052,0.02,0.0,0.928,0.966,0,0,0.8
P01dc454b71,0.0019,0.01,0.0,0.978,0.989,0,0,0.517
Pb7b7147bb1,0.0052,0.02,0.0068,1.021,0.971,0,0,0.83
Pab39ee5462,0.0017,0.01,0.0022,1.022,0.983,0,0,0.719
Pf091cf9935,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P655613d84a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pae3adc3ef4,0.0005,0.01,0.0,0.989,0.994,0,0,0.549
P441a89e79f,0.0009,0.01,0.0,1.0,0.994,0,0,0.58
P6680e3073f,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P3a22280810,0.0017,0.01,0.0,0.978,0.988,0,0,0.71
P16bfe45561,0.0009,0.01,0.0,0.989,0.994,0,0,0.58
P3364db28a5,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P86df290cda,0.0154,0.03,0.0066,0.892,0.879,0,0,0.906
Pd559eb82c1,0.0007,0.01,0.0,0.989,0.994,0,0,0.543
P445f167264,0.0022,0.01,0.0,0.968,0.983,0,0,0.667
P4eb309e8f6,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pe54f989cc8,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P2e4a40f74c,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pca5928b452,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P74240d498b,0.0333,0.05,0.0021,0.664,0.684,0,0,0.929
Pc131e1ee6f,0.0007,0.01,0.0,0.989,0.995,0,0,0.593
Pb1c5565b99,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pdf5a3388b3,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P98f1a6546b,0.0127,0.06,0.0,0.968,0.96,0,0,0.895
P32ff4229d3,0.0047,0.01,0.0,0.918,0.949,0,0,0.788
P21372aaded,0.0007,0.01,0.0,0.989,0.995,0,0,0.593
P2dc9628338,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P865ed42223,0.0593,0.04,0.0183,0.755,0.736,0,0,0.95
P367a636ba4,0.0026,0.02,0.0,0.947,0.977,0,0,0.743
P7329b5e7c4,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P52f2ddbdea,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P0fc299eb1c,0.0028,0.01,0.0031,1.022,0.983,0,0,0.6
P850a7a2631,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pad2abbabb5,0.0816,0.15,0.0061,0.733,0.759,2,1,1.0
P03328260f7,0.003,0.02,0.0,0.957,0.983,0,0,0.714
P4d55024373,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pcf591b3097,0.0005,0.01,0.0,0.989,0.994,0,0,0.549
P1fe8b7c256,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P2a77fa93f7,0.0109,0.06,0.0021,1.011,0.938,0,0,0.858
P694212af03,0.0007,0.01,0.0,0.989,0.994,0,0,0.543
P43bb69ceef,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P1715fe72c5,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P429241cb33,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pe083952d4c,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pc37129efde,0.0007,0.01,0.0,0.989,0.995,0,0,0.593
P9b4a07a3b9,0.0007,0.01,0.0,1.0,0.994,0,0,0.543
P6675265e20,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P0e1f032d1f,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pa5128e8532,0.0074,0.02,0.0,0.882,0.942,0,0,0.823
P328a9a467a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P624b2b5afe,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P46419801dd,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pf92c037d4b,0.0279,0.11,0.0,0.738,0.948,1,0,0.97
Pc51154c628,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P9f8f735247,0.0,0.0,0.0,1.0,1.0,0,1,0.0
Pd62847824a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pad9c27fcb6,0.0457,0.11,0.0,0.672,0.8,1,0,0.99
Pa95793f720,0.0086,0.02,0.0022,0.93,0.931,0,0,0.844
P72ec1785e5,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pbbefe0eca9,0.0426,0.03,0.0061,0.762,0.782,0,0,0.933
Pd10e0b97d9,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pb1001f743e,0.0005,0.01,0.0,0.989,0.994,0,0,0.549
Pd3eb42d2a8,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P884e8ee6b6,0.0052,0.02,0.0,0.938,0.966,0,0,0.8
P80ff3b7db7,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pa6b76d042d,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Paf63a5d230,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P1fc9b73472,0.0019,0.01,0.0,0.978,0.989,0,0,0.517
P68ff50da96,0.0193,0.01,0.0084,0.927,0.791,0,0,0.912
Pd8381f9e2c,0.0213,0.07,0.0031,0.949,0.925,0,0,0.9
P3f654a33fe,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P55fe66b9ce,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pb0cd5d409b,0.0401,0.19,0.0042,0.906,0.847,2,0,0.938
P6e0353adf2,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P307cead4af,0.0075,0.03,0.0,0.9,0.954,0,0,0.848
Pb4d81376d2,0.0056,0.01,0.0,0.957,0.966,0,0,0.75
P50d6953351,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pf3b62cae3c,0.0195,0.05,0.0071,0.941,0.88,0,0,0.952
Pa757d2e68d,0.0005,0.01,0.0,0.989,0.994,0,0,0.549
P9a9f9fa8f1,0.0074,0.02,0.0,0.957,0.966,0,0,0.8
P66484e16cb,0.0135,0.01,0.0,0.783,0.853,0,0,0.885
