pid,draft_year,source_year,source_filename,source_row,match_method
P268ca85d2e,2011,2011,combine_2011.json,33,unique_nba_id
P22add316a5,2011,2011,combine_2011.json,24,unique_nba_id
Pbbfb6a2c4a,2011,2011,combine_2011.json,50,unique_nba_id
P47e2698d94,2011,2011,combine_2011.json,38,unique_nba_id
P701bdb09e4,2011,2011,combine_2011.json,40,unique_nba_id
Pce627023f0,2011,2011,combine_2011.json,13,unique_nba_id
Pa98bcc077b,2011,2011,combine_2011.json,43,unique_nba_id
P0c700e1af1,2011,2011,combine_2011.json,8,unique_nba_id
Pe1228b6b2c,2011,2011,combine_2011.json,11,unique_nba_id
P53502448c1,2011,2011,combine_2011.json,19,unique_nba_id
Pd9bc466fd2,2011,2011,combine_2011.json,4,unique_nba_id
P4d8e3ba87c,2011,2011,combine_2011.json,20,unique_nba_id
P85135a294f,2011,2011,combine_2011.json,3,unique_nba_id
P74ab2a2c37,2011,2011,combine_2011.json,12,unique_nba_id
P69e13b90fc,2011,2011,combine_2011.json,39,unique_nba_id
P43d78a0411,2011,2011,combine_2011.json,29,unique_nba_id
P2e873db9ac,2011,2011,combine_2011.json,14,unique_nba_id
P629d2ef8de,2011,2011,combine_2011.json,53,unique_nba_id
P2c06075e55,2011,2011,combine_2011.json,46,unique_nba_id
P3e5e9d6579,2011,2011,combine_2011.json,49,unique_nba_id
P96af95e7fd,2011,2011,combine_2011.json,26,unique_nba_id
Pde91f9542b,2011,2011,combine_2011.json,34,unique_nba_id
P52af59d765,2011,2011,combine_2011.json,23,unique_nba_id
P355f728583,2011,2011,combine_2011.json,18,unique_nba_id
Pd11fd10026,2011,2011,combine_2011.json,10,unique_nba_id
P36b818b767,2011,2011,combine_2011.json,25,unique_nba_id
Pe6bde91a1f,2011,2011,combine_2011.json,0,unique_nba_id
Pc4acbf93e3,2011,2011,combine_2011.json,37,unique_nba_id
P7f14bdd3aa,2011,2011,combine_2011.json,27,unique_nba_id
P3ce7981258,2011,2011,combine_2011.json,45,unique_nba_id
P163aa00374,2012,2012,combine_2012.json,8,unique_nba_id
P272afc1b90,2012,2012,combine_2012.json,28,unique_nba_id
