pid,source,fiba_person_id,n_tournaments_predraft,tournament_ids,urls
P9d5ce33ec0,fiba.basketball,268853,1,276_208102,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P98391b949f,fiba.basketball,211767,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
Pceb9387e05,fiba.basketball,217264,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
P4cd6438cc3,fiba.basketball,268957,1,276_208102,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P9c6ee0d9a6,fiba.basketball,210661,2,256_6329;276_10628,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
Pf77538a69a,fiba.basketball,177356,3,256_5945;249_5078;276_7488,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5945;https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/7488
P61afdc25a4,fiba.basketball,268702,1,276_208102,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P64263ced9d,fiba.basketball,235741,2,249_6362;276_208102,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
Pc3e0235987,fiba.basketball,253933,2,249_6362;276_208102,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P45a39b68c1,fiba.basketball,236567,2,249_6362;276_208102,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
Pc97a1282a3,fiba.basketball,235752,2,249_6362;276_208102,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P9e82692a6d,fiba.basketball,268857,1,276_208102,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P4e35bd6add,fiba.basketball,268956,1,276_208102,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
Pb3cfb2c388,fiba.basketball,253997,1,249_6362,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
P88205fde52,fiba.basketball,251336,1,256_6366,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6366
P5480a34012,fiba.basketball,251346,2,256_6366;276_208102,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6366;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P9fd480084b,fiba.basketball,252134,1,256_6366,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6366
P30aaba02d5,fiba.basketball,211967,1,276_208102,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P6a7cb1d3a8,fiba.basketball,203439,2,256_6329;276_10628,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
Pd7c45f2e6c,fiba.basketball,185254,1,249_5078,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078
Pf2b31fcc76,fiba.basketball,211765,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
P3692b72eac,fiba.basketball,217274,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
P70fd4037fb,fiba.basketball,173524,2,249_3924;276_4346,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
Pf10c6bc653,fiba.basketball,218705,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
P9badd97dfe,fiba.basketball,218672,1,276_208102,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P3e86849b89,fiba.basketball,212000,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P9adb5133bc,fiba.basketball,251340,1,256_6366,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6366
Pe0ad9b9ce5,fiba.basketball,224980,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P1f2e422e9e,fiba.basketball,225696,1,256_6329,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329
Pbfdaa31fd0,fiba.basketball,298072,1,276_208299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
P16b88a2183,fiba.basketball,298074,1,276_208299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
