pid,draft_year,vcons_dx_rank,vcons_nbadraft_rank,vcons_walter_serious_rank
P429241cb33,2024,,16.0,
P429838957d,2020,,26.0,
P42b9d239c3,2018,,,2.0
P4396f0664b,2017,,56.0,
P43b2e2aa2f,2025,,23.0,
P43dec358d1,2019,,5.0,6.0
P445f167264,2025,,58.0,
P4467431c36,2018,,11.0,11.0
P459acdec33,2017,22.0,27.0,
P45a39b68c1,2021,,6.0,
P46cfb45fde,2017,14.0,8.0,
P470eca3f49,2024,,32.0,
P473649a3ff,2024,,3.0,
P47380ec945,2016,4.0,4.0,
P47a1cc70a3,2023,,19.0,
P4832cf3ea3,2019,,26.0,
P48772fff87,2020,,35.0,
P495dd3afc8,2025,,45.0,
P49b4c451ec,2025,,39.0,
P49d50fc2b5,2017,13.0,13.0,
P4a000d48b0,2017,8.0,7.0,
P4a125216bc,2015,37.0,33.0,
P4a1b07df85,2016,26.0,20.0,
P4a79c6caeb,2019,,27.0,
P4b59f5fe56,2016,36.0,27.0,
P4b5f95e771,2022,,19.0,
P4b73f3a250,2024,,43.0,
P4b7967ab2f,2026,,53.0,
P4ba2b4830d,2015,,43.0,
P4cd6438cc3,2020,,57.0,
P4d03279429,2018,,22.0,
P4e09db2338,2025,,3.0,
P4e35bd6add,2021,,25.0,
P4e8883caf8,2022,,32.0,
P4ebe015218,2018,,58.0,
P4ebfdd4833,2019,,21.0,
P4ec4ee54f1,2016,5.0,3.0,
P50c2524b85,2018,,,12.0
P50d6953351,2022,,44.0,
P51e5ade0ce,2023,,3.0,
P521ea871d2,2016,,60.0,
P523c5eb5e6,2023,,15.0,
P523c7506e7,2024,,17.0,
P5277c76d51,2019,,20.0,
P5351e63d76,2017,47.0,53.0,
P53d139a0c8,2026,,36.0,
P53f786523f,2016,7.0,7.0,
P5492e07ad3,2015,16.0,13.0,
P54d4de841c,2017,28.0,24.0,
P551a484de7,2017,34.0,26.0,
P55d017c927,2018,,1.0,1.0
P55d1c5e102,2016,48.0,34.0,
P55f0d03e7b,2016,50.0,44.0,
P56746fa0a3,2026,,45.0,
P5698276a02,2023,,29.0,
P57ab80ef44,2018,,15.0,14.0
P58407301c7,2024,,8.0,
P5849f19551,2015,44.0,31.0,
P58e5b2eaa8,2018,,18.0,
P5a591d3e24,2015,,1.0,
P5cba6e4b4b,2022,,16.0,
P5cd98708f1,2019,,12.0,14.0
P5da3d9ffcd,2018,,30.0,
P5f230da818,2017,,51.0,
P5f9ce00466,2025,,7.0,
P5fe334203a,2026,,26.0,
P5ff9cbca0f,2018,,50.0,
P606c98790a,2021,,19.0,
P6142a39d2b,2020,,59.0,
P6187cee451,2023,,35.0,
P61add2364f,2018,,40.0,
P61afdc25a4,2021,,1.0,
P620501ed0d,2016,13.0,8.0,
P6232d5a44f,2020,,6.0,
P63236d3a70,2020,,34.0,
P63f00af37c,2017,23.0,35.0,
P64263ced9d,2021,,2.0,
P64adb31e4d,2016,21.0,19.0,
P6521ad0003,2022,,56.0,
P655613d84a,2023,,28.0,
P659b205e3c,2023,,52.0,
P664a2ede66,2023,,2.0,
P6786e0dd88,2018,,41.0,
P679974836f,2025,,28.0,
P67cf99c3eb,2015,3.0,3.0,
P67e5a8f825,2018,,56.0,
P688b157768,2018,,21.0,
P68ff50da96,2024,,36.0,
P694212af03,2025,,59.0,
P69549f38f2,2021,,11.0,
P69f4c7679c,2020,,44.0,
P6a3fce0af3,2019,,31.0,
P6a5f6ac2d8,2019,,11.0,15.0
P6ab3598ab0,2018,,16.0,
P6b4a74f110,2023,,13.0,
P6b5b70ee01,2019,,57.0,
