pid,sc_athleticism,sc_size,sc_defense,sc_strength,sc_quickness,sc_leadership,sc_jumpshot,sc_nbaready,sc_potential,sc_intangibles,sc_ballhandling,sc_passing,sc_rebounding,sc_postskills,sc_overall,sc_intang_lead,sc_kw_injury,sc_kw_upside,sc_kw_motor,sc_kw_character,sc_kw_shooting_concern,sc_kw_nba_ready,sc_words_strengths,sc_words_weaknesses
P06d8dc5829,,,,,,,,,,,,,,,,,,,,,,,,
P78dd3f3917,,,,,,,,,,,,,,,,,,,,,,,,
P769efab0d3,,,,,,,,,,,,,,,,,,,,,,,,
P4be402ea04,,,,,,,,,,,,,,,,,,,,,,,,
P3070bdd73b,,,,,,,,,,,,,,,,,,,,,,,,
P85bb3eb8b9,,,,,,,,,,,,,,,,,,,,,,,,
P8bc3dd7f6c,,,,,,,,,,,,,,,,,,,,,,,,
P26a739545e,,,,,,,,,,,,,,,,,,,,,,,,
Pc1693478f0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0,0.0,0.0,61.0,101.0
P18458ff2ec,,,,,,,,,,,,,,,,,,,,,,,,
Paaef13df6e,,,,,,,,,,,,,,,,,,,,,,,,
P33f86fa27f,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,
P78473875c4,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,17.0
P42e64d32a8,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,53.0,73.0
P2cb7a6fa13,,,,,,,,,,,,,,,,,,,,,,,,
P2631037f25,,,,,,,,,,,,,,,,,,,,,,,,
P269736d407,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,132.0,95.0
Pfb5ad97400,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,112.0,72.0
Pec20f0f060,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,59.0
Pd353deb783,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,84.0,50.0
P5246294b22,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,194.0,126.0
P6292223fd6,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,121.0,80.0
P8abebd0da5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,2.0,1.0,167.0,111.0
Pcdb1e8afaa,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,118.0,102.0
Pff029e3151,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,100.0,59.0
P977a8945dd,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,130.0,70.0
P5c0fad1503,,,,,,,,,,,,,,,,,,,,,,,,
P679159f4f1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,60.0,58.0
P6e6444ed0f,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,97.0,43.0
Pcca6045f01,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,141.0,45.0
P67b7122a99,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,75.0,62.0
P44f5111142,,,,,,,,,,,,,,,,,,,,,,,,
P25c05d7b38,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,191.0,123.0
P0d50e77b95,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,75.0,48.0
